agent_id,name,road,lat,lon,length_m,condition,betweenness,daily_tonnes,criticality_score,condition_weight,flood_risk,vulnerability_score
1000174,bridge 41,N1,23.4815271,91.0590278,1.5,A,0.11551689799920335,46889.98095238095,5416.585146860779,1,1.0,1.0
1000177,bridge 42,N1,23.4770827,91.0789993,1.0,C,0.11691102123356927,46889.98095238095,5481.955558765468,3,1.0,3.0
1000183,bridge 43,N1,23.4789438,91.1177216,1.4,A,0.5135038818051962,46889.98095238095,24078.187236819333,1,1.0,1.0
1000191,bridge 44,N1,23.459,91.142333,22.85,C,0.49450156629125286,46889.98095238095,23187.169024319395,3,1.0,3.0
1000204,bridge 45,N1,23.4191382,91.1721938,27.35,C,0.49363616666447807,46889.98095238095,23146.590452303728,3,1.0,3.0
1000211,bridge 46,N1,23.4100278,91.2090833,27.35,C,0.4931446488574901,46889.98095238095,23123.543191696303,3,1.0,3.0
1000217,bridge 47,N1,23.3914441,91.2293049,30.4,A,0.4927091221327824,46889.98095238095,23103.121351870508,1,1.0,1.0
1000225,bridge 48,N1,23.3683327,91.2471108,22.8,C,0.49210799311911546,46889.98095238095,23074.93442386974,3,1.0,3.0
1000227,bridge 49,N1,23.3586389,91.25325,14.3,A,0.49195406323818863,46889.98095238095,23067.71665468508,1,1.0,1.0
1000238,bridge 50,N1,23.324166,91.2791104,19.2,B,0.49108136835639365,46889.98095238095,23026.796008300473,2,1.0,2.0
1000241,bridge 51,N1,23.3149444,91.2844719,3.2,A,0.4908357006435874,46889.98095238095,23015.276653926372,1,1.0,1.0
1000245,bridge 52,N1,23.30425,91.288583,13.4,A,0.4905030370146649,46889.98095238095,22999.678062702646,1,1.0,1.0
1000247,bridge 53,N1,23.296083,91.2914997,4.6,B,0.4903345166236976,46889.98095238095,22991.776144780102,2,1.0,2.0
1000250,bridge 54,N1,23.2876663,91.2936386,6.3,B,0.49007900031661406,46889.98095238095,22979.794990007933,2,1.0,2.0
1000255,bridge 55,N1,23.2677493,91.3054722,4.5,B,0.48964584454978793,46889.98095238095,22959.48432435204,2,1.0,2.0
1000259,bridge 56,N1,23.2587222,91.3074444,2.5,B,0.4892927542068088,46889.98095238095,22942.92792489528,2,1.0,2.0
1000261,bridge 57,N1,23.249833,91.3091944,2.5,A,0.4891140204588132,46889.98095238095,22934.547102856217,1,1.0,1.0
1000262,bridge 58,N1,23.248333,91.3098056,3.1,B,0.48902410644068883,46889.98095238095,22930.331036259016,2,1.0,2.0
1000266,bridge 59,N1,23.2416941,91.3123611,2.6,B,0.4886608027406814,46889.98095238095,22913.295732685736,2,1.0,2.0
1000267,bridge 60,N1,23.2344997,91.3131667,6.0,A,0.48856906490880203,46889.98095238095,22908.9941474963,1,1.0,1.0
1000270,bridge 61,N1,23.2275549,91.3135278,14.3,B,0.48829166283665776,46889.98095238095,22895.986769617306,2,1.0,2.0
1000272,bridge 62,N1,23.221416,91.3137222,6.1,A,0.4881049043081399,46889.98095238095,22887.229665772407,1,1.0,1.0
1000275,bridge 63,N1,23.2103056,91.3157222,6.1,A,0.48782203079473047,46889.98095238095,22873.965732116707,1,1.0,1.0
1000277,bridge 64,N1,23.201,91.3168049,6.1,C,0.4876316246387025,46889.98095238095,22865.03759108734,3,1.0,3.0
1000279,bridge 65,N1,23.1921108,91.3185549,9.5,B,0.48743975943167045,46889.98095238095,22856.041035184182,2,1.0,2.0
1000281,bridge 66,N1,23.1866941,91.3212493,3.1,B,0.48724643517363436,46889.98095238095,22846.976064407238,2,1.0,2.0
1000284,bridge 67,N1,23.1773604,91.3198049,9.5,A,0.48695371306594765,46889.98095238095,22833.250330353465,1,1.0,1.0
1000286,bridge 68,N1,23.1681382,91.3213604,6.3,B,0.48675674118040146,46889.98095238095,22824.01432239205,2,1.0,2.0
1000289,bridge 69,N1,23.1571667,91.3224993,3.5,B,0.4864585476314496,46889.98095238095,22810.032032561572,2,1.0,2.0
1000291,bridge 70,N1,23.1496941,91.3254993,6.1,B,0.48625792811839325,46889.98095238095,22800.624987415686,2,1.0,2.0
1000294,bridge 71,N1,23.1433886,91.326666,3.0,B,0.4859542631281762,46889.98095238095,22786.386141808503,2,1.0,2.0
1000296,bridge 72,N1,23.1374163,91.3264716,4.5,B,0.48574999598760976,46889.98095238095,22776.808059478146,2,1.0,2.0
1000298,bridge 73,N1,23.1290827,91.3287216,5.3,B,0.48554426979603926,46889.98095238095,22767.161562274,2,1.0,2.0
1000301,bridge 74,N1,23.1193049,91.3329993,6.1,A,0.48523294478805096,46889.98095238095,22752.563538579427,1,1.0,1.0
1000304,bridge 75,N1,23.1108056,91.3381386,3.1,A,0.48491833691530356,46889.98095238095,22737.811581418835,1,1.0,1.0
1000307,bridge 76,N1,23.1005833,91.3437774,3.5,A,0.484600446177797,46889.98095238095,22722.905690792213,1,1.0,1.0
1000308,bridge 77,N1,23.0961941,91.3461108,14.2,B,0.4844937530731262,46889.98095238095,22717.902853146446,2,1.0,2.0
1000310,bridge 78,N1,23.0901108,91.3494163,6.1,B,0.48427927257553144,46889.98095238095,22707.845866699572,2,1.0,2.0
1000316,bridge 79,N1,23.0732493,91.3594167,4.0,B,0.4836270767767229,46889.98095238095,22677.264418116218,2,1.0,2.0
1000321,bridge 80,N1,23.0614722,91.3616667,10.8,A,0.483073549302063,46889.98095238095,22651.309525372795,1,1.0,1.0
1000323,bridge 81,N1,23.0479441,91.3651389,1.6,A,0.4828495849729419,46889.98095238095,22640.807842246293,1,1.0,1.0
1000328,bridge 82,N1,23.029416,91.3656389,3.4,A,0.48228329080199656,46889.98095238095,22614.254319357224,1,1.0,1.0
1000335,bridge 83,N1,23.0095556,91.3813604,1.5,A,0.5085524098415908,46889.98095238095,23846.012810759625,1,1.0,1.0
1000368,bridge 84,N1,22.9046667,91.5314438,3.0,A,0.45900121393043536,46889.98095238095,21522.55817831785,1,1.0,1.0
1000376,bridge 85,N1,22.875166,91.5407219,2.0,A,0.4576034430685593,46889.98095238095,21457.01672922869,1,1.0,1.0
1000378,bridge 86,N1,22.8731382,91.5414441,1.5,A,0.45725035272558023,46889.98095238095,21440.46032977193,1,1.0,1.0
1000379,bridge 87,N1,22.868416,91.5431663,1.5,A,0.45707326040996415,46889.98095238095,21432.15647446588,1,1.0,1.0
1000381,bridge 88,N1,22.86111772310757,91.54512584501992,8.5,A,0.456717981490479,46889.98095238095,21415.497452698437,1,1.0,1.0
1000382,bridge 89,N1,22.8595833,91.5454719,3.0,A,0.45653979488660984,46889.98095238095,21407.142286237042,1,1.0,1.0
1000384,bridge 90,N1,22.856,91.5457219,3.0,A,0.4561823273906186,46889.98095238095,21390.380642158918,1,1.0,1.0
1000385,bridge 91,N1,22.8550556,91.545833,3.0,A,0.45600304649849643,46889.98095238095,21381.974164542185,1,1.0,1.0
1000387,bridge 92,N1,22.8485274,91.5463886,4.5,A,0.4556433904259991,46889.98095238095,21365.109898153376,1,1.0,1.0
1000388,bridge 93,N1,22.8484441,91.5464163,12.4,C,0.45546301524562394,46889.98095238095,21356.652109381303,3,1.0,3.0
1000401,bridge 94,N1,22.8045833,91.5591111,4.5,A,0.45308494449040454,46889.98095238095,21245.14441696565,1,1.0,1.0
1000403,bridge 95,N1,22.7934163,91.5633333,23.2,B,0.45271361600987486,46889.98095238095,21227.732831586538,2,1.0,2.0
1000408,bridge 96,N1,22.7811382,91.5696382,9.7,A,0.45177891146040794,46889.98095238095,21183.904553065928,1,1.0,1.0
1000412,bridge 97,N1,22.7693604,91.5756104,4.0,A,0.4510245820913162,46889.98095238095,21148.534063317395,1,1.0,1.0
1000415,bridge 98,N1,22.7621944,91.5811382,12.9,A,0.45045500505561176,46889.98095238095,21121.826606962302,1,1.0,1.0
1000417,bridge 99,N1,22.7526389,91.5893608,3.0,A,0.4500734632180537,46889.98095238095,21103.936117466666,1,1.0,1.0
1000418,bridge 100,N1,22.7525,91.5894719,8.1,B,0.4498821451551482,46889.98095238095,21094.96521714118,2,1.0,2.0
1000424,bridge 101,N1,22.7349163,91.5979719,3.0,A,0.4487265767599438,46889.98095238095,21040.780637100874,1,1.0,1.0
1000426,bridge 102,N1,22.7221104,91.6030833,3.0,A,0.4483384691928676,46889.98095238095,21022.582280673196,1,1.0,1.0
1000431,bridge 103,N1,22.7124167,91.6090556,19.2,A,0.4473618169270343,46889.98095238095,20976.787074531174,1,1.0,1.0
1000434,bridge 104,N1,22.706,91.6126944,4.2,A,0.4467714484145222,46889.98095238095,20949.104706224596,1,1.0,1.0
1000438,bridge 105,N1,22.6919719,91.6198604,3.2,A,0.44597918371932527,46889.98095238095,20911.955429757567,1,1.0,1.0
1000440,bridge 106,N1,22.689583,91.6208327,6.0,A,0.44558086279522074,46889.98095238095,20893.278169213372,1,1.0,1.0
1000443,bridge 107,N1,22.6769438,91.6268327,3.0,A,0.4449806456884313,46889.98095238095,20865.134000508722,1,1.0,1.0
1000444,bridge 108,N1,22.6751382,91.6274438,3.0,A,0.4447798437939995,46889.98095238095,20855.71840350361,1,1.0,1.0
1000446,bridge 109,N1,22.6733049,91.6280827,3.0,A,0.4443771457168828,46889.98095238095,20836.83589833805,1,1.0,1.0
1000450,bridge 110,N1,22.6638333,91.6321382,3.1,A,0.44356737240963734,46889.98095238095,20798.865643385565,1,1.0,1.0
1000451,bridge 111,N1,22.6596667,91.6347219,4.6,A,0.4433640171759484,46889.98095238095,20789.330320351324,1,1.0,1.0
1000456,bridge 112,N1,22.6489997,91.6411108,3.0,A,0.4423417695662387,46889.98095238095,20741.39714940342,1,1.0,1.0
1000457,bridge 113,N1,22.6452774,91.6430552,3.0,A,0.4421362257560438,46889.98095238095,20731.759204058497,1,1.0,1.0
1000459,bridge 114,N1,22.6338608,91.6494719,3.0,A,0.44172404384740077,46889.98095238095,20712.43200221331,1,1.0,1.0
1000461,bridge 115,N1,22.6320271,91.6503889,3.0,A,0.44131040288775375,46889.98095238095,20693.03638549434,1,1.0,1.0
1000462,bridge 116,N1,22.625916,91.6541389,3.0,A,0.44110303526380373,46889.98095238095,20683.31292155718,1,1.0,1.0
1000464,bridge 117,N1,22.6234716,91.6553056,4.6,A,0.44068720572765063,46889.98095238095,20663.814682527525,1,1.0,1.0
1000470,bridge 118,N1,22.6168604,91.6588611,3.0,A,0.43943096281316707,46889.98095238095,20604.909476195826,1,1.0,1.0
1000473,bridge 119,N1,22.6088889,91.6641111,2.95,A,0.4387979170587866,46889.98095238095,20575.225972830944,1,1.0,1.0
1000475,bridge 120,N1,22.601,91.6692771,4.5,A,0.43837406274211127,46889.98095238095,20555.35145199545,1,1.0,1.0
1000480,bridge 121,N1,22.5907497,91.6754716,22.25,C,0.4373080436022802,46889.98095238095,20505.365834833898,3,1.0,3.0
1000482,bridge 122,N1,22.5836663,91.6784716,10.2,A,0.4368790826070907,46889.98095238095,20485.251861940145,1,1.0,1.0
1000487,bridge 123,N1,22.5731938,91.6830827,3.0,A,0.4358002967709742,46889.98095238095,20434.66761463295,1,1.0,1.0
1000488,bridge 124,N1,22.5730549,91.6831938,8.2,A,0.4355834453154979,46889.98095238095,20424.499454016168,1,1.0,1.0
1000490,bridge 125,N1,22.5664722,91.6851663,4.1,A,0.4351486481162922,46889.98095238095,20404.111821627263,1,1.0,1.0
1000496,bridge 126,N1,22.5503056,91.6902774,3.0,A,0.4338355022126508,46889.98095238095,20342.538435217823,1,1.0,1.0
1000497,bridge 127,N1,22.5501667,91.6903886,5.2,A,0.4336153678924154,46889.98095238095,20332.216341135016,1,1.0,1.0
1000499,bridge 128,N1,22.5428608,91.6950274,8.2,A,0.4331740049636915,46889.98095238095,20311.52084181407,1,1.0,1.0
1000501,bridge 129,N1,22.5347774,91.698333,3.0,A,0.43273118298396357,46889.98095238095,20290.756927619328,1,1.0,1.0
1000506,bridge 130,N1,22.5165556,91.7065833,27.0,C,0.431617744686501,46889.98095238095,20238.547827059658,3,1.0,3.0
1000512,bridge 131,N1,22.5094444,91.7096389,4.5,A,0.43026958155876255,46889.98095238095,20175.3324836793,1,1.0,1.0
1000513,bridge 132,N1,22.5093611,91.7096944,17.6,A,0.43004361103451094,46889.98095238095,20164.73673010134,1,1.0,1.0
1000518,bridge 133,N1,22.4969163,91.7155556,3.0,B,0.4289082869719877,46889.98095238095,20111.501406434847,2,1.0,2.0
1000521,bridge 134,N1,22.4869441,91.7192771,4.5,A,0.4282227153814616,46889.98095238095,20079.354967613584,1,1.0,1.0
1000523,bridge 135,N1,22.48280706570156,91.72005100244988,6.0,A,0.42776384384068916,46889.98095238095,20057.838489807174,1,1.0,1.0
1000530,bridge 136,N1,22.4588333,91.7303604,3.0,A,0.4261463034213287,46889.98095238095,19981.992050353656,1,1.0,1.0
1000534,bridge 137,N1,22.4424997,91.7366663,3.0,A,0.42521396982974335,46889.98095238095,19938.274946002955,1,1.0,1.0
1000535,bridge 138,N1,22.4422219,91.7367497,40.0,A,0.4249799745249695,46889.98095238095,19927.30291061916,1,1.0,1.0
1000545,bridge 139,N1,22.4101111,91.7544444,5.0,A,0.4226199595259251,46889.98095238095,19816.64185226664,1,1.0,1.0
1000549,bridge 140,N1,22.3996108,91.7573333,3.0,A,0.4216657401692791,46889.98095238095,19771.898524809112,1,1.0,1.0
1000550,bridge 141,N1,22.3988608,91.7576667,18.0,A,0.42142627342324007,46889.98095238095,19760.669933648613,1,1.0,1.0
1000553,bridge 142,N1,22.3937774,91.7588056,3.0,A,0.42070568460861685,46889.98095238095,19726.881537856432,1,1.0,1.0
1000558,bridge 143,N1,22.3815271,91.7652222,8.3,A,0.4194974079958913,46889.98095238095,19670.225470500525,1,1.0,1.0
1000560,bridge 144,N1,22.3764716,91.770416,3.0,A,0.419011544011544,46889.98095238095,19647.443317529032,1,1.0,1.0
1000565,bridge 145,N1,22.3644444,91.8511111,5.7,B,0.41779050070253304,46889.98095238095,19590.188620027475,2,1.0,2.0
1000567,bridge 146,N1,22.3632778,91.8514722,1.5,A,0.35730535894843274,46889.98095238095,16754.04147527565,1,1.0,1.0
1000569,bridge 147,N1,22.3555,91.8530833,3.0,A,0.3566589993536404,46889.98095238095,16723.73368618745,1,1.0,1.0
1000570,bridge 148,N1,22.3553889,91.8530556,3.0,A,0.3563352724121177,46889.98095238095,16708.55413606568,1,1.0,1.0
1000572,bridge 149,N1,22.3427219,91.8531389,116.5,C,0.35568672424081926,46889.98095238095,16678.143724666792,3,1.0,3.0
1000575,bridge 150,N1,22.338362487628867,91.853695585567,3.0,B,0.35471116626323906,46889.98095238095,16632.399829680115,2,1.0,2.0
1000580,bridge 151,N1,22.3297493,91.8521111,3.1,B,0.35307794104558515,46889.98095238095,16555.817930333375,2,1.0,2.0
1000582,bridge 152,N1,22.3212771,91.8536111,3.0,A,0.35242209761926646,46889.98095238095,16525.065444565545,1,1.0,1.0
1000586,bridge 153,N1,22.3108333,91.8570278,10.8,B,0.35110603361361703,46889.98095238095,16463.35522840853,2,1.0,2.0
1000590,bridge 154,N1,22.3043056,91.8621667,3.0,A,0.3497841334039514,46889.98095238095,16401.37135275636,1,1.0,1.0
1000593,bridge 155,N1,22.2950274,91.8671938,5.3,A,0.34878887823781657,46889.98095238095,16354.703856973538,1,1.0,1.0
1000600,bridge 156,N1,22.2951108,91.8781104,3.0,A,0.3464538494872165,46889.98095238095,16245.214403334641,1,1.0,1.0
1000605,bridge 157,N1,22.3015833,91.897333,50.8,C,0.3447750289256862,46889.98095238095,16166.494539182017,3,1.0,3.0
1000612,bridge 158,N1,22.3124722,91.9188327,12.4,A,0.34240936010400114,46889.98095238095,16055.568373193564,1,1.0,1.0
1000616,bridge 159,N1,22.3137778,91.9322216,60.5,C,0.34104952456823034,46889.98095238095,15991.8057108229,3,1.0,3.0
1000622,bridge 160,N1,22.3010278,91.9641667,9.2,A,0.33899882838204376,46889.98095238095,15895.648605713492,1,1.0,1.0
1000623,bridge 161,N1,22.3009444,91.9646667,6.0,A,0.33865576901471744,46889.98095238095,15879.562558514024,1,1.0,1.0
1000626,bridge 162,N1,22.2956941,91.9787493,9.4,A,0.3376244023362325,46889.98095238095,15831.201794604944,1,1.0,1.0
1000629,bridge 163,N1,22.2933608,91.9821104,14.0,A,0.33658975279298836,46889.98095238095,15782.687097229838,1,1.0,1.0
1000630,bridge 164,N1,22.292083,91.9822493,14.0,A,0.336244140086405,46889.98095238095,15766.481324001245,1,1.0,1.0
1000633,bridge 165,N1,22.286583,91.9911108,12.6,B,0.3352051133901488,46889.98095238095,15717.761382004775,2,1.0,2.0
1000635,bridge 166,N1,22.2862497,91.9916941,9.4,B,0.3345106051122229,46889.98095238095,15685.19590208156,2,1.0,2.0
1000637,bridge 167,N1,22.2820549,91.9986663,14.0,A,0.333814637783293,46889.98095238095,15652.562007284556,1,1.0,1.0
1000639,bridge 168,N1,22.2745827,92.0053056,9.2,A,0.33311721140335904,46889.98095238095,15619.859697613765,1,1.0,1.0
1000642,bridge 169,N1,22.2622222,92.0070556,50.8,D,0.3320683361128255,46889.98095238095,15570.677955219224,4,1.0,4.0
1000644,bridge 170,N1,22.2600833,92.0075556,9.2,B,0.3313672621053814,46889.98095238095,15537.804608363962,2,1.0,2.0
1000654,bridge 171,N1,22.2327771,92.0245549,12.3,B,0.32784000630310034,46889.98095238095,15372.411650980826,2,1.0,2.0
1000665,bridge 172,N1,22.2084444,92.0356663,211.3,C,0.32391789482284933,46889.98095238095,15188.503918378741,3,1.0,3.0
1000674,bridge 173,N1,22.1750827,92.0528611,28.0,A,0.3206760658732347,46889.98095238095,15036.494620680436,1,1.0,1.0
1000679,bridge 174,N1,22.1580556,92.0686104,7.2,A,0.31886228309383013,46889.98095238095,14951.446380702399,1,1.0,1.0
1000681,bridge 175,N1,22.1509722,92.0696938,11.2,A,0.31813421664281116,46889.98095238095,14917.30735868205,1,1.0,1.0
1000685,bridge 176,N1,22.1379163,92.0698882,12.6,A,0.3166737065877612,46889.98095238095,14848.824070019997,1,1.0,1.0
1000693,bridge 177,N1,22.123666,92.0716382,30.3,B,0.31373517786561267,46889.98095238095,14711.036514210427,2,1.0,2.0
1000696,bridge 178,N1,22.1133056,92.0726938,2.5,A,0.31262721100941526,46889.98095238095,14659.083969427462,1,1.0,1.0
1000698,bridge 179,N1,22.1021667,92.0740549,12.6,A,0.31188674262486193,46889.98095238095,14624.363420979917,1,1.0,1.0
1000700,bridge 180,N1,22.0977497,92.0750271,6.0,A,0.3111448151893046,46889.98095238095,14589.574457658584,1,1.0,1.0
1000702,bridge 181,N1,22.0942219,92.0798604,13.64,A,0.3104014287027432,46889.98095238095,14554.717079463462,1,1.0,1.0
1000705,bridge 182,N1,22.0844441,92.0924997,2.0,A,0.30928361325226844,46889.98095238095,14502.302734282424,1,1.0,1.0
1000709,bridge 183,N1,22.0699438,92.1038333,3.0,A,0.30778808597312135,46889.98095238095,14432.177488649451,1,1.0,1.0
1000712,bridge 184,N1,22.0641667,92.107,12.6,A,0.3066626105048754,46889.98095238095,14379.403965381027,1,1.0,1.0
1000714,bridge 185,N1,22.0605556,92.1078056,6.2,A,0.30591046971228975,46889.98095238095,14344.136097943176,1,1.0,1.0
1000716,bridge 186,N1,22.0568611,92.1090833,3.0,A,0.3051568698687,46889.98095238095,14308.799815631535,1,1.0,1.0
1000717,bridge 187,N1,22.0522778,92.1091111,12.4,A,0.3047795228027786,46889.98095238095,14291.106018898045,1,1.0,1.0
1000719,bridge 188,N1,22.0486386,92.1082222,14.2,A,0.3040237343826828,46889.98095238095,14255.667114275724,1,1.0,1.0
1000720,bridge 189,N1,22.0449719,92.1078333,22.0,B,0.3036452930285084,46889.98095238095,14237.922006386892,2,1.0,2.0
1000723,bridge 190,N1,22.0379163,92.104,22.4,B,0.30250778038947906,46889.98095238095,14184.584060409714,2,1.0,2.0
1000725,bridge 191,N1,22.0320827,92.1041667,2.5,A,0.30174761481637113,46889.98095238095,14148.939911166028,1,1.0,1.0
1000730,bridge 192,N1,22.0205549,92.1015,22.4,A,0.2998408175354586,46889.98095238095,14059.530222983987,1,1.0,1.0
1000732,bridge 193,N1,22.0077222,92.0927497,3.0,A,0.2990755452838365,46889.98095238095,14023.64662168204,1,1.0,1.0
1000734,bridge 194,N1,22.0039167,92.0904163,1.4,A,0.29830881398121034,46889.98095238095,13987.694605506305,1,1.0,1.0
1000737,bridge 195,N1,21.9951108,92.0873608,4.5,A,0.29715598130663856,46889.98095238095,13933.638303354353,1,1.0,1.0
1000738,bridge 196,N1,21.9950552,92.0872774,9.3,A,0.2967709742229459,46889.98095238095,13915.585328533472,1,1.0,1.0
1000742,bridge 197,N1,21.9893886,92.085333,4.5,A,0.2952272982606653,46889.98095238095,13843.202392065486,1,1.0,1.0
1000743,bridge 198,N1,21.9862219,92.0835274,4.7,A,0.2948404673632176,46889.98095238095,13825.063898652372,1,1.0,1.0
1000746,bridge 199,N1,21.9811104,92.0800271,2.0,A,0.2936777860943685,46889.98095238095,13770.545796102348,1,1.0,1.0
1000747,bridge 200,N1,21.9810549,92.0799438,3.0,A,0.29328949614591676,46889.98095238095,13752.338887815444,1,1.0,1.0
1000756,bridge 201,N1,21.9618611,92.0634444,13.64,A,0.2897784722860557,46889.98095238095,13587.707045903204,1,1.0,1.0
1000759,bridge 202,N1,21.9569167,92.0673327,9.3,A,0.28860156526991715,46889.98095238095,13532.521898333744,1,1.0,1.0
1000763,bridge 203,N1,21.9446663,92.0668049,3.0,A,0.28702724923655154,46889.98095238095,13458.702249516202,1,1.0,1.0
1000765,bridge 204,N1,21.9354441,92.0623056,3.0,A,0.2862379026433627,46889.98095238095,13421.689802796749,1,1.0,1.0
1000768,bridge 205,N1,21.931666,92.0603611,56.2,C,0.2850511470329468,46889.98095238095,13366.042854829218,3,1.0,3.0
1000771,bridge 206,N1,21.9177216,92.0597778,14.3,A,0.28386110855777186,46889.98095238095,13310.241973395665,1,1.0,1.0
1000772,bridge 207,N1,21.9160833,92.0601389,2.1,A,0.28346369954054484,46889.98095238095,13291.607472147585,1,1.0,1.0
1000774,bridge 208,N1,21.9128611,92.0606667,4.5,A,0.28266778721783775,46889.98095238095,13254.287158496085,1,1.0,1.0
1000775,bridge 209,N1,21.9083889,92.0605278,3.0,A,0.2822692839123577,46889.98095238095,13235.601346092664,1,1.0,1.0
1000777,bridge 210,N1,21.9031667,92.0611667,15.8,A,0.2814711830131446,46889.98095238095,13198.178410130484,1,1.0,1.0
