,road,chainage,lrp,lat,lon,gap,type,name
109,N1,39.607,LRP040,23.5327216,90.7269993,,KmPost,Km post missing
110,N1,40.607,LRP041,23.528916,90.7356108,,KmPost,Km post missing
111,N1,41.261,LRP042,23.5289993,90.7419441,,KmPost,Ctg 214 km
112,N1,42.228,LRP042a,23.5293882,90.7514167,,Bridge,Bridge start
113,N1,42.245,LRP042b,23.5293882,90.7515833,,Bridge,Bridge end
114,N1,42.269,LRP043,23.529416,90.75175,,KmPost,Km post broken
115,N1,43.269,LRP044,23.5299993,90.7615,,KmPost,Km post Missing
116,N1,44.269,LRP045,23.5304438,90.7713049,,KmPost,Km post Missing
117,N1,44.454,LRP045a,23.5304993,90.7731104,,Culvert,Box culvert
118,N1,45.269,LRP046,23.5308049,90.7811104,,KmPost,Km post Missing
119,N1,45.322,LRP046a,23.5307493,90.7816104,,"SideRoad,Right","Z1402, road to Pennai"
120,N1,45.388,LRP046b,23.530666,90.7821938,,"SideRoad,Left","Z1053, Road to Homna"
121,N1,46.161,LRP046c,23.5312216,90.7895552,,Culvert,Box culvert
122,N1,46.269,LRP047,23.531166,90.7907219,,KmPost,Km post Missing
123,N1,47.224,LRP047a,23.5306938,90.7924441,,"SideRoad,Right",Z1044
124,N1,47.269,LRP048,23.5308604,90.8002222,,KmPost,Km post Missing
125,N1,47.672,LRP048a,23.5308882,90.8041389,,Bridge,Bridge start
126,N1,47.692,LRP048b,23.530916,90.8043611,,Bridge,Bridge end
127,N1,48.269,LRP049,23.5316382,90.8099167,,KmPost,Km post Missing
128,N1,49.269,LRP050,23.5332493,90.8194716,,KmPost,Km post Missing
129,N1,49.863,LRP050a,23.5346663,90.8249716,,Bridge,Bridge start
130,N1,49.879,LRP050b,23.5347219,90.8251104,,Bridge,Bridge end
131,N1,50.269,LRP051,23.5344997,90.8287216,,KmPost,Km post Missing
132,N1,51.269,LRP052,23.5292216,90.8365274,,KmPost,Km post Missing
133,N1,51.636,LRP052a,23.5270549,90.8391386,,Culvert,Box culvert
134,N1,52.269,LRP053,23.523166,90.8438886,,KmPost,Km post Missing
135,N1,53.269,LRP054,23.5174993,90.8513889,,KmPost,Km post Missing
136,N1,54.269,LRP055,23.5170827,90.8607778,,KmPost,Km post Missing
137,N1,55.269,LRP056,23.5135833,90.8697771,,KmPost,Km post Missing
138,N1,55.333,LRP056a,23.5133056,90.8703049,,Bridge,Bridge start
139,N1,55.375,LRP056b,23.5131111,90.8706382,,Bridge,Bridge end
140,N1,55.477,LRP056c,23.5126667,90.871416,,"SideRoad,Left","Z1042, road to Bancharampur"
141,N1,56.269,LRP057,23.5088056,90.8778604,,KmPost,Km post Missing
142,N1,57.269,LRP058,23.506,90.8869163,,KmPost,Km post Missing
143,N1,58.191,LRP058a,23.5056111,90.8958886,,Culvert,Box culvert
144,N1,58.269,LRP059,23.5056389,90.8966108,,KmPost,Km post Missing
145,N1,59.269,LRP060,23.5062778,90.9063889,,KmPost,Km post Missing
146,N1,60.18,LRP060a,23.50575,90.91525,,Culvert,Box culvert
147,N1,60.269,LRP061,23.5057222,90.9160278,,KmPost,Km post Missing
148,N1,61.269,LRP062,23.5055278,90.9257216,,KmPost,Km post Missing
149,N1,62.269,LRP063,23.5042778,90.9354163,,KmPost,Km post Missing
150,N1,62.278,LRP063a,23.5043333,90.9354719,,"SideRoad,Left","Z1017, Road to Companiganj"
151,N1,62.542,LRP063b,23.5038611,90.9371386,,Culvert,Box culvert
152,N1,62.894,LRP063c,23.5028611,90.9412774,,Culvert,Box culvert
153,N1,63.269,LRP064,23.5020278,90.9448886,,KmPost,Km post Missing
154,N1,64.269,LRP065,23.4986386,90.9541667,,KmPost,Km post Missing
155,N1,65.269,LRP066,23.4986386,90.9651111,,KmPost,Km post Missing
156,N1,65.543,LRP066a,23.4980552,90.9660278,,Culvert,Box culvert
157,N1,65.726,LRP067,23.4972774,90.9674716,,KmPost,Ctg 191 km
158,N1,66.726,LRP068,23.4942219,90.9765549,,KmPost,Km post Missing
159,N1,67.42,LRP068a,23.4951386,90.9829993,,Culvert,Box culvert
160,N1,67.726,LRP069,23.4942497,90.985833,,KmPost,Km post Missing
161,N1,68.726,LRP070,23.4911386,90.9950274,,KmPost,Km post Missing
162,N1,69.616,LRP070a,23.4894441,91.0033056,,"SideRoad,Left",Road to Debiduar (Z1008)
163,N1,69.638,LRP070b,23.4893886,91.0034722,,"SideRoad,Right",Road to Jhalam (Z1022)
164,N1,69.709,LRP071,23.4896108,91.0043056,,KmPost,Ctg 188 km
165,N1,70.443,LRP072,23.4893052,91.0112778,,KmPost,"Ctg 188 km,Comilla 20 km"
166,N1,70.527,LRP072a,23.4890552,91.0120278,,Bridge,Bridge start
167,N1,70.557,LRP072b,23.4889441,91.01225,,Bridge,Bridge end
168,N1,70.755,LRP073,23.488333,91.0140833,,KmPost,Ctg 187 km
169,N1,71.775,LRP074,23.4846386,91.0229438,,KmPost,Km post missing
170,N1,72.775,LRP075,23.4827771,91.0321382,,KmPost,Km post missing
171,N1,73.688,LRP075a,23.481166,91.0404441,,Culvert,Box culvert
172,N1,73.829,LRP076,23.4814716,91.0419719,,KmPost,Ctg 184 km
173,N1,74.7,LRP076a,23.4820827,91.0504167,,Culvert,Box culvert
174,N1,74.829,LRP077,23.4821382,91.0516944,,KmPost,Km post missing
175,N1,75.589,LRP077a,23.4815271,91.0590278,,"SideRoad,Left",Road to Khangsanagar (Z1219) left road to Barua Z1028 right
176,N1,75.829,LRP078,23.4815549,91.0613611,,KmPost,Km post missing
177,N1,76.829,LRP079,23.4801104,91.0706382,,KmPost,Km post missing
178,N1,77.773,LRP079a,23.4770827,91.0789993,,Culvert,Box culvert
179,N1,77.829,LRP080,23.4770271,91.0794716,,KmPost,Km post missing
180,N1,78.829,LRP081,23.4781938,91.0889997,,KmPost,Km post missing
181,N1,79.829,LRP082,23.4775549,91.0986663,,KmPost,Km post missing
182,N1,80.342,LRP082a,23.4778604,91.1036111,,Culvert,Box culvert
183,N1,80.829,LRP083,23.4779993,91.1055278,,KmPost,Km post missing
184,N1,81.801,LRP083a,23.4789438,91.1177216,,Culvert,Box culvert
185,N1,81.829,LRP084,23.4789716,91.1179993,,KmPost,Km post missing
186,N1,81.846,LRP084a,23.4789716,91.118166,,"SideRoad,Left",Road to Brahmanbaria(N102)
187,N1,82.393,LRP084b,23.4793327,91.1234716,,Culvert,Box culvert
188,N1,82.829,LRP085,23.4800827,91.1276382,,KmPost,Km post missing
189,N1,83.829,LRP086,23.4767216,91.1364441,,KmPost,Km post missing
190,N1,84.829,LRP087,23.4682216,91.1394441,,KmPost,Km post missing
191,N1,85.829,LRP088,23.4595833,91.1421386,,KmPost,Km post missing
192,N1,85.897,LRP088a,23.459,91.142333,,CrossRoad,Cross road Z1029
193,N1,86.829,LRP089,23.4513056,91.1460552,,KmPost,Km post missing
194,N1,87.132,LRP089a,23.448833,91.1471386,,Bridge,Bridge start
195,N1,87.156,LRP089b,23.4486386,91.1472497,,Bridge,Bridge end
196,N1,87.366,LRP089c,23.4469441,91.1481386,,CrossRoad,Cross Road with Z1052
197,N1,87.829,LRP090,23.4425274,91.1497774,,KmPost,Km post missing
198,N1,88.513,LRP091,23.4373886,91.1521944,,KmPost,Ctg 170 km
199,N1,89.513,LRP092,23.4288882,91.1553889,,KmPost,Km post missing
200,N1,90.493,LRP093,23.4236938,91.1626944,,KmPost,Ctg 168 km
201,N1,90.521,LRP093a,23.4235827,91.1629722,,Bridge,Bridge start
202,N1,90.558,LRP093b,23.423416,91.1632778,,Bridge,Bridge end
203,N1,91.066,LRP093c,23.4213604,91.167666,,RailRoadCrossing,Rail Road Crossing
204,N1,91.493,LRP094,23.4195271,91.171416,,KmPost,Km post missing
205,N1,91.583,LRP094a,23.4191382,91.1721938,,CrossRoad,Left to Comilla Right to Noakhali
206,N1,92.121,LRP095,23.4149444,91.1801382,,KmPost,"Ctg 66 km,Feni 52 km"
207,N1,92.632,LRP095a,23.4131111,91.1846663,,Bridge,Bridge start
208,N1,92.66,LRP095b,23.4130556,91.1849163,,Bridge,Bridge end
209,N1,93.121,LRP096,23.4125,91.1893886,,KmPost,Km post missing
210,N1,94.129,LRP097,23.4113056,91.1988886,,KmPost,Ctg 164 km
211,N1,95.156,LRP098,23.4100833,91.2087778,,KmPost,Ctg 163 km
212,N1,95.193,LRP098a,23.4100278,91.2090833,,Culvert,Box culvert
213,N1,96.173,LRP099,23.4048056,91.2165278,,KmPost,Ctg 162 km
214,N1,96.345,LRP099a,23.40375,91.2176382,,Bridge,Bridge start
215,N1,96.374,LRP099b,23.4035556,91.2178049,,Bridge,Bridge end
216,N1,97.173,LRP100,23.4151111,91.2232493,,KmPost,Km post missing
217,N1,98.173,LRP101,23.3915274,91.2292493,,KmPost,Km post missing
218,N1,98.183,LRP101a,23.3914441,91.2293049,,Culvert,Box culvert
219,N1,99.075,LRP101b,23.385083,91.2345552,,Culvert,Box culvert
220,N1,99.09,LRP101c,23.3849719,91.2346108,,Culvert,Box culvert
221,N1,99.173,LRP102,23.3843886,91.2351108,,KmPost,Km post missing
222,N1,100.071,LRP102a,23.3779716,91.2403608,,Bridge,Bridge start
223,N1,100.101,LRP102b,23.3777493,91.2405274,,Bridge,Bridge end
224,N1,100.173,LRP103,23.377166,91.2409163,,KmPost,Km post missing
225,N1,101.173,LRP104,23.3695827,91.2462774,,KmPost,Km post missing
226,N1,101.344,LRP104a,23.3683327,91.2471108,,Culvert,Box culvert
227,N1,102.248,LRP105,23.3615278,91.2515556,,KmPost,"Ctg 156 km,Feni 43 km"
228,N1,102.614,LRP105a,23.3586389,91.25325,,Bridge,Bridge start
229,N1,102.638,LRP105b,23.3584444,91.2533333,,Bridge,Bridge end
230,N1,103.248,LRP106,23.3536944,91.2561389,,KmPost,Km post missing
231,N1,103.935,LRP106a,23.3486386,91.2599444,,Culvert,Box culvert
232,N1,104.248,LRP107,23.3463608,91.2616944,,KmPost,Km post missing
233,N1,105.248,LRP108,23.3360274,91.2672216,,KmPost,Km post missing
234,N1,105.692,LRP108a,23.3360274,91.2700549,,Bridge,Bridge start
235,N1,105.736,LRP108b,23.3357219,91.2703049,,Bridge,Bridge end
236,N1,105.879,LRP108c,23.3347219,91.271166,,"SideRoad,Right",Road to Harishchar (Z1046)
237,N1,106.248,LRP109,23.3321938,91.2734716,,KmPost,Km post missing
238,N1,107.248,LRP110,23.3246382,91.278666,,KmPost,Km post missing
239,N1,107.321,LRP110a,23.324166,91.2791104,,Bridge,Bridge start
240,N1,107.331,LRP110b,23.3240827,91.279166,,Bridge,Bridge end
241,N1,108.248,LRP111,23.3171382,91.2836941,,KmPost,Km post missing
242,N1,108.518,LRP111a,23.3149444,91.2844719,,Bridge,Bridge start
243,N1,108.537,LRP111b,23.31475,91.2845552,,Bridge,Bridge end
244,N1,109.135,LRP111c,23.3096389,91.2861386,,Culvert,Box culvert
245,N1,109.248,LRP112,23.3086944,91.2864163,,KmPost,Km post missing
246,N1,109.795,LRP112a,23.30425,91.288583,,Culvert,Box culvert
247,N1,110.248,LRP113,23.3006111,91.290333,,KmPost,Km post missing
248,N1,110.767,LRP113a,23.296083,91.2914997,,Bridge,Bridge start
249,N1,110.781,LRP113b,23.2959719,91.2915274,,Bridge,Bridge end
250,N1,111.248,LRP114,23.2919163,91.2922219,,KmPost,Km post missing
251,N1,111.75,LRP114a,23.2876663,91.2936386,,Culvert,Box culvert
252,N1,112.248,LRP115,23.283583,91.2952219,,KmPost,Km post missing
253,N1,113.022,LRP115a,23.2787216,91.3002778,,Culvert,Box culvert
254,N1,113.248,LRP116,23.2768882,91.3011944,,KmPost,Km post missing
255,N1,114.248,LRP117,23.2686382,91.3049722,,KmPost,Km post missing
256,N1,114.364,LRP117a,23.2677493,91.3054722,,Culvert,Box culvert
257,N1,114.641,LRP117b,23.2654444,91.3064444,,Culvert,Box culvert
258,N1,114.844,LRP117c,23.2636667,91.30675,,Culvert,Box culvert
259,N1,115.248,LRP118,23.2601111,91.3072778,,KmPost,Km post missing
260,N1,115.404,LRP118a,23.2587222,91.3074444,,Culvert,Box culvert
261,N1,116.248,LRP119,23.2511944,91.3086389,,KmPost,Km post missing
262,N1,116.422,LRP119a,23.249833,91.3091944,,Culvert,Box culvert
263,N1,116.608,LRP119b,23.248333,91.3098056,,Bridge,Bridge start
264,N1,116.631,LRP119c,23.2481663,91.3098889,,Bridge,Bridge end
265,N1,116.978,LRP119d,23.2452774,91.3110556,,Culvert,Box culvert
266,N1,117.248,LRP120,23.243083,91.3119167,,KmPost,Km post missing
267,N1,117.411,LRP120a,23.2416941,91.3123611,,Culvert,Box culvert
268,N1,118.228,LRP120b,23.2344997,91.3131667,,Culvert,Box culvert
269,N1,118.248,LRP121,23.2343052,91.3131667,,KmPost,Km post missing
270,N1,118.563,LRP121a,23.2314993,91.3132222,,Culvert,Box culvert
271,N1,119.011,LRP121b,23.2275549,91.3135278,,Culvert,Box culvert
272,N1,119.248,LRP122,23.2253882,91.3135833,,KmPost,Km post missing
273,N1,119.698,LRP122a,23.221416,91.3137222,,"SideRoad,Right",Road to Bangadda (Z1045)
274,N1,120.026,LRP122b,23.2184993,91.3143889,,Culvert,Box culvert
275,N1,120.248,LRP123,23.2165556,91.3149167,,KmPost,Km post missing
276,N1,120.966,LRP123a,23.2103056,91.3157222,,Culvert,Box culvert
277,N1,121.248,LRP124,23.2078889,91.3159722,,KmPost,Km post missing
278,N1,122.019,LRP124a,23.201,91.3168049,,Culvert,Box culvert
279,N1,122.248,LRP125,23.1990274,91.3170549,,KmPost,Km post missing
280,N1,123.113,LRP125a,23.1921108,91.3185549,,Culvert,Box culvert
281,N1,123.248,LRP126,23.1909997,91.3192493,,KmPost,Km post missing
282,N1,123.771,LRP126a,23.1866941,91.3212493,,Bridge,Bridge start
283,N1,123.783,LRP126b,23.1866108,91.3212771,,Bridge,Bridge end
284,N1,124.248,LRP127,23.1826382,91.3210827,,KmPost,Km post missing
285,N1,124.862,LRP127a,23.1773604,91.3198049,,Culvert,Box culvert
286,N1,125.377,LRP128,23.172916,91.3205271,,KmPost,Ctg 133 km
287,N1,125.923,LRP128a,23.1681382,91.3213604,,Bridge,Bridge start
288,N1,125.937,LRP128b,23.1680549,91.3213604,,Bridge,Bridge end
289,N1,126.377,LRP129,23.1641389,91.3214993,,KmPost,Km post missing
290,N1,127.169,LRP129a,23.1571667,91.3224993,,Culvert,Box culvert
291,N1,127.377,LRP130,23.1554167,91.3232771,,KmPost,Km post missing
292,N1,128.009,LRP130a,23.1496941,91.3254993,,"SideRoad,Right",Road to Nangolhat (Z1048)
293,N1,128.278,LRP130b,23.1480274,91.3264993,,Culvert,Box culvert
294,N1,128.377,LRP131,23.1471663,91.3266938,,KmPost,Km post missing
295,N1,128.798,LRP131a,23.1433886,91.326666,,Culvert,Box culvert
296,N1,129.377,LRP132,23.1382219,91.3263049,,KmPost,Km post missing
297,N1,129.479,LRP132a,23.1374163,91.3264716,,Culvert,Box culvert
298,N1,130.377,LRP133,23.1295827,91.3284993,,KmPost,Km post missing
299,N1,130.447,LRP133a,23.1290827,91.3287216,,Culvert,Box culvert
300,N1,131.122,LRP133b,23.1234993,91.3311382,,Culvert,Box culvert
301,N1,131.377,LRP134,23.1213327,91.3320549,,KmPost,Km post missing
302,N1,131.625,LRP134a,23.1193049,91.3329993,,Culvert,Box culvert
303,N1,131.653,LRP135,23.1191382,91.3330827,,KmPost,"Ctg 127 km,Feni 16 km"
304,N1,132.653,LRP136,23.1113611,91.3378052,,KmPost,Km post missing
305,N1,132.728,LRP136a,23.1108056,91.3381386,,Culvert,Box culvert
306,N1,133.448,LRP136b,23.1051111,91.3413608,,Culvert,Box culvert
307,N1,133.653,LRP137,23.1035,91.3422497,,KmPost,Km post missing
308,N1,134.021,LRP137a,23.1005833,91.3437774,,Culvert,Box culvert
309,N1,134.571,LRP137b,23.0961941,91.3461108,,Culvert,Box culvert
310,N1,134.653,LRP138,23.095583,91.3464441,,KmPost,Km post missing
311,N1,135.341,LRP138a,23.0901108,91.3494163,,Culvert,Box culvert
312,N1,135.653,LRP139,23.0876108,91.3508889,,KmPost,Km post missing
313,N1,135.998,LRP139a,23.0849719,91.3524722,,Culvert,Box culvertt
314,N1,136.525,LRP139b,23.0808049,91.3548611,,Bridge,Bridge start
315,N1,136.542,LRP139c,23.0806938,91.3549444,,Bridge,Bridge end
316,N1,136.735,LRP140,23.0792493,91.3558333,,KmPost,Ctg 122 km
317,N1,137.501,LRP140a,23.0732493,91.3594167,,Culvert,Box culvert
318,N1,137.735,LRP141,23.0712493,91.3599722,,KmPost,Km post missing
319,N1,138.01,LRP141a,23.0688604,91.3607222,,Others,Start of Feni road Division
320,N1,138.01,LRP141a,23.0688604,91.3607222,,Others,Start of Feni road Division
321,N1,138.621,LRP141b,23.0636944,91.3616389,,Culvert,Box Culvert
322,N1,138.639,LRP142,23.0635278,91.3616389,,KmPost,Ctg 103 km
323,N1,138.869,LRP142a,23.0614722,91.3616667,,"SideRoad,Right",Road to Karerhat (Z1031)
324,N1,139.751,LRP143,23.0538611,91.3637222,,KmPost,Ctg 102 km
325,N1,140.251,LRP143a,23.0479441,91.3651389,,CrossRoad,Z1031
326,N1,140.772,LRP144,23.0449719,91.3653611,,KmPost,Ctg 101 km
327,N1,140.968,LRP144a,23.0427774,91.3654444,,Culvert,Box culvert
328,N1,141.304,LRP144b,23.0398052,91.3656111,,RailRoadCrossing,Rail Road Crossing
329,N1,141.772,LRP145,23.0360274,91.36575,,KmPost,Km post missing
330,N1,142.507,LRP145a,23.029416,91.3656389,,Culvert,Box culvert
331,N1,142.794,LRP146,23.0269716,91.3655,,KmPost,"Ctg 99 km,Feni 3 km"
332,N1,143.034,LRP146a,23.0248327,91.3655278,,"SideRoad,Right",Road to Biroli (Z1030)
333,N1,143.795,LRP147,23.0193604,91.3697771,,KmPost,"Ctg 98 km,Feni 2 km"
334,N1,143.946,LRP147a,23.0185271,91.3708327,,Culvert,Box culvert
335,N1,144.67,LRP147b,23.0140833,91.3759716,,Culvert,Box culvert
336,N1,144.795,LRP148,23.0132778,91.3769438,,KmPost,Km post missing
337,N1,145.409,LRP148a,23.0095556,91.3813604,,CrossRoad,Intersection with N104
338,N1,145.795,LRP149,23.0095556,91.3813604,,KmPost,Km post missing
339,N1,146.816,LRP150,23.0018889,91.3920552,,KmPost,Ctg 95 km
340,N1,147.816,LRP151,22.9963886,91.3998052,,KmPost,Km post missing
341,N1,147.901,LRP151a,22.9961941,91.4005,,Bridge,Bridge start
342,N1,147.924,LRP151b,22.9960552,91.4006667,,Bridge,Bridge end
343,N1,148.841,LRP152,22.9906941,91.4072222,,KmPost,"Ctg 93 km,Lalpole 1 km"
344,N1,149.289,LRP152a,22.9877774,91.41,,"SideRoad,Left",Road to Feni Town (Z1034)
